Date;Period;T;U;WW
21.04.2014;День;8;0.4;4.0
21.04.2014;Вечер;8;0.4;4.0
22.04.2014;Ночь;8;0.7;4.0
22.04.2014;Утро;8;0.5;4.0
22.04.2014;День;15;0.4;4.0
22.04.2014;Вечер;15;0.7;4.0
23.04.2014;Ночь;5;0.6;4.0
23.04.2014;Утро;5;0.4;4.0
23.04.2014;День;9;0.2;4.0
23.04.2014;Вечер;9;0.2;4.0
24.04.2014;Ночь;9;0.5;4.0
24.04.2014;Утро;9;0.3;4.0
24.04.2014;День;9;0.4;4.0
24.04.2014;Вечер;9;0.5;4.0
25.04.2014;Ночь;9;0.7;4.0
25.04.2014;Утро;9;0.5;4.0
25.04.2014;День;10;0.5;4.0
25.04.2014;Вечер;10;0.6;4.0
26.04.2014;Ночь;10;0.5;4.0
26.04.2014;Утро;10;0.4;4.0
26.04.2014;День;10;0.3;4.0
26.04.2014;Вечер;10;0.4;4.0
27.04.2014;Ночь;10;0.8;4.0
27.04.2014;Утро;10;0.6;4.0
27.04.2014;День;16;0.4;4.0
27.04.2014;Вечер;14;0.4;4.0
28.04.2014;Ночь;14;0.8;4.0
28.04.2014;Утро;14;0.6;4.0
28.04.2014;День;17;0.3;4.0
28.04.2014;Вечер;17;0.4;4.0
29.04.2014;Ночь;17;0.5;4.0
29.04.2014;Утро;17;0.5;4.0
29.04.2014;День;17;0.5;4.0
29.04.2014;Вечер;11;0.6;4.0
30.04.2014;Ночь;11;0.7;4.0
30.04.2014;Утро;11;0.5;4.0
30.04.2014;День;10;0.4;4.0
30.04.2014;Вечер;10;0.6;4.0
01.05.2014;Ночь;3;0.8;4.0
01.05.2014;Утро;3;0.6;4.0
01.05.2014;День;3;0.7;3.0
01.05.2014;Вечер;3;0.9;3.0
02.05.2014;Ночь;3;0.9;4.0
02.05.2014;Утро;3;0.6;4.0
02.05.2014;День;3;0.6;4.0
02.05.2014;Вечер;3;0.6;4.0
03.05.2014;Ночь;3;0.9;4.0
03.05.2014;Утро;3;0.6;4.0
03.05.2014;День;3;0.4;4.0
03.05.2014;Вечер;3;0.5;4.0
04.05.2014;Ночь;3;0.8;4.0
04.05.2014;Утро;3;0.6;4.0
04.05.2014;День;3;0.6;4.0
04.05.2014;Вечер;3;0.8;4.0
05.05.2014;Ночь;3;0.9;4.0
05.05.2014;Утро;10;0.7;4.0
05.05.2014;День;10;0.7;4.0
05.05.2014;Вечер;10;0.7;3.0
06.05.2014;Ночь;10;0.8;4.0
06.05.2014;Утро;10;0.6;4.0
06.05.2014;День;10;0.3;4.0
06.05.2014;Вечер;10;0.3;4.0
07.05.2014;Ночь;10;0.6;4.0
07.05.2014;Утро;10;0.5;4.0
07.05.2014;День;10;0.3;4.0
07.05.2014;Вечер;10;0.5;4.0
08.05.2014;Ночь;4;0.6;4.0
08.05.2014;Утро;4;0.8;3.0
08.05.2014;День;4;0.9;2.0
08.05.2014;Вечер;4;1.0;4.0
09.05.2014;Ночь;4;1.0;1.0
09.05.2014;Утро;4;0.9;4.0
09.05.2014;День;4;0.8;3.0
09.05.2014;Вечер;4;0.9;4.0
10.05.2014;Ночь;4;0.8;3.0
10.05.2014;Утро;4;0.8;3.0
10.05.2014;День;16;0.7;2.0
10.05.2014;Вечер;16;0.9;3.0
11.05.2014;Ночь;16;0.9;4.0
11.05.2014;Утро;16;0.9;2.0
11.05.2014;День;9;0.9;4.0
11.05.2014;Вечер;9;0.9;4.0
12.05.2014;Ночь;9;0.8;4.0
12.05.2014;Утро;9;0.7;4.0
12.05.2014;День;12;0.9;3.0
12.05.2014;Вечер;12;0.9;3.0
13.05.2014;Ночь;12;0.9;4.0
13.05.2014;Утро;12;0.7;4.0
13.05.2014;День;12;0.7;3.0
13.05.2014;Вечер;12;0.9;3.0
14.05.2014;Ночь;12;0.9;3.0
14.05.2014;Утро;12;0.8;4.0
14.05.2014;День;12;0.8;2.0
14.05.2014;Вечер;12;0.8;4.0
15.05.2014;Ночь;12;0.8;4.0
15.05.2014;Утро;11;0.6;4.0
15.05.2014;День;11;0.4;4.0
15.05.2014;Вечер;11;0.6;4.0
16.05.2014;Ночь;11;0.9;4.0
16.05.2014;Утро;11;0.5;4.0
16.05.2014;День;11;0.4;4.0
16.05.2014;Вечер;11;0.5;4.0
17.05.2014;Ночь;8;0.9;4.0
17.05.2014;Утро;8;0.4;4.0
17.05.2014;День;20;0.4;4.0
17.05.2014;Вечер;20;0.5;4.0
18.05.2014;Ночь;20;0.7;4.0
18.05.2014;Утро;18;0.4;4.0
18.05.2014;День;26;0.3;4.0
18.05.2014;Вечер;26;0.4;4.0
19.05.2014;Ночь;26;0.6;4.0
19.05.2014;Утро;26;0.5;4.0
19.05.2014;День;26;0.3;4.0
19.05.2014;Вечер;26;0.3;4.0
20.05.2014;Ночь;26;0.5;4.0
20.05.2014;Утро;22;0.6;4.0
20.05.2014;День;32;0.3;4.0
20.05.2014;Вечер;32;0.5;4.0
21.05.2014;Ночь;32;0.8;4.0
21.05.2014;Утро;32;0.5;4.0
21.05.2014;День;32;0.4;4.0
21.05.2014;Вечер;32;0.7;4.0
22.05.2014;Ночь;32;0.8;2.0
22.05.2014;Утро;17;0.8;4.0
22.05.2014;День;17;0.6;4.0
22.05.2014;Вечер;17;0.6;4.0
23.05.2014;Ночь;17;0.8;4.0
23.05.2014;Утро;17;0.5;4.0
23.05.2014;День;17;0.3;4.0
23.05.2014;Вечер;17;0.3;4.0
24.05.2014;Ночь;17;0.7;4.0
24.05.2014;Утро;17;0.4;4.0
24.05.2014;День;17;0.3;4.0
24.05.2014;Вечер;27;0.4;4.0
25.05.2014;Ночь;27;0.8;4.0
25.05.2014;Утро;27;0.5;4.0
25.05.2014;День;27;0.5;3.0
25.05.2014;Вечер;27;0.6;4.0
26.05.2014;Ночь;27;0.7;4.0
26.05.2014;Утро;27;0.7;4.0
26.05.2014;День;20;0.6;4.0
26.05.2014;Вечер;20;0.8;4.0
27.05.2014;Ночь;20;0.9;2.0
27.05.2014;Утро;20;0.8;2.0
27.05.2014;День;20;0.8;3.0
27.05.2014;Вечер;20;0.9;3.0
28.05.2014;Ночь;20;1.0;3.0
28.05.2014;Утро;20;1.0;3.0
28.05.2014;День;20;0.9;3.0
